leagueId,queueType,tier,rank,summonerId,puuid,leaguePoints,wins,losses,veteran,inactive,freshBlood,hotStreak
4bc45013-60d6-4439-9521-97f35eaacda1,RANKED_SOLO_5x5,DIAMOND,IV,wiCEIMRKkGs-eiPgmmMkQ_FfFez1Kbq7ia7MdQ2MkzUH1D8,1JCW0v8bNxs8fU1HLh9jj1TCyTZ5a_dopVQTAizN5mSsCQO4nswB2ZZvXPBJ7ba0Q4XYbxFgv9O21Q,0,27,21,False,False,False,False
faefddf8-bf86-4599-93b8-10319b8e6537,RANKED_SOLO_5x5,DIAMOND,IV,k9jGicpklgk578lwxrBM0A_9BwkGzIJ15CIGmGrGrgPZVv0,gyE_WaRg5o7sT0h364nrWbgmkR1DTNT225HvQ7SRv4oAmfljD3na-KnEbdhSGj2quSc-UOV3hSbr_A,18,40,21,False,False,True,True
894b1352-0133-4f15-b602-39e635e2cab0,RANKED_SOLO_5x5,DIAMOND,IV,V7T3eYULfPhZStyHuHHIChx4fz2G7ZW8jJmV4wacH8SpQfU,RyrBoqAsXDsoWicipIOReWX7cMPRat3u_8PE4LT-MiZWXaQ4iYR5UFapO5vt1osK9bHjR0Rg-NfVGQ,30,21,16,False,False,False,False
b34fcd9c-cead-490b-ac91-9c4facfe0e39,RANKED_SOLO_5x5,DIAMOND,IV,_IpqhdytNtV271TVlllZ0Dp10Nyff2xJMuOiwIagZieVGl0,7eNsDE_mvYsgkywpVouYhvM5zXeDJo4w1nop-n9X0iQQ6Fx_leey5PwTb9kuCo0Ztk_nU0zcWu3s7w,74,23,19,False,False,False,False
980cc0ce-a939-449a-861c-e0115a33fbc7,RANKED_SOLO_5x5,DIAMOND,IV,yurtm4uB26-a3QvagAsLC_cYxPpgvBkT2Vm4dA3scKyItZ4,2CPNqDgLZjtbS-3twHZqiTCqxpA4my-NDo3va-RUF18SqpWHU8sGGbMYTLjEkXYNSEwelb6PvnRAKw,97,77,66,False,False,False,True
2191a96e-b12b-4b54-a2d0-12046d089952,RANKED_SOLO_5x5,DIAMOND,IV,dOGfZjKIAro3FD52JcVZnyQTntrFNP6WpvGqmqRqC35vCIA,vpRcHwdQUcdt5vtEGsyfaTxTxh9mXCMHjC-pIj40my4ULaBLbmE7jM2udTsbT_hK97kkLlOpK36huA,69,27,20,False,False,False,True
9ec26dda-eb1f-4c71-a3d8-06e619a34d5d,RANKED_SOLO_5x5,DIAMOND,IV,2yP86A-UPrhskDwRQPNL1r-Hciy0aRvYoC_vjEkqVK_Y7Dw,9nfR8WB0Hx1JcpSw1zhGBNzIerit2o4ZFR5swMq9h2OiR10dsYrjZx1q72Z5j3pMXzQRD7CcfibPGw,65,18,21,False,False,True,False
cb801f08-73fb-40b3-ac27-5357b7dec1f0,RANKED_SOLO_5x5,DIAMOND,IV,xvBhp88e6eyV8Q9qWo7b-h2IjD7byTPeE-_cp0xI29r_eLg,4IugEKsGp4GeIo8v4UymaleRpvHU9FU2MR334vMVLasYE-oHR_zxEyK9eP-ExHKuaLIiV-W-SkCc4w,0,22,24,False,False,False,False
d41a53c4-36be-4bdf-96f9-ed56ba61def0,RANKED_SOLO_5x5,DIAMOND,IV,GNvO24JRENzOIPLRQpPIVaIT1ZY5Iql8eg3R1GfXtSE01jw,DnhAm6BmjnhXCbU5Te76axwvJu_Gt0XB24hWSrjlvCP3pfRFipNGZTmxEq8BBuFzNlPK-qNfdNlfoA,80,5,6,False,False,False,False
358f2aa2-8fe1-4c7a-bd87-8755b3c78533,RANKED_SOLO_5x5,DIAMOND,IV,P8y4tcUuVWEvMra_s0hV5kI7Sb_MxqDzAA7UdvjhVW8Pnjc,QvJ07F9sHIpbcoyofZs1oF9VPcJAM2DbgLgsjPnaBse48p4dCtkiH-aMaL0twB9mNPW6f0RDCBbFhQ,5,31,18,False,False,False,False
21a5fbba-c822-4e17-be6a-37638fdb01e4,RANKED_SOLO_5x5,DIAMOND,IV,TM6MLTMIiRpf35Rg8mAtYiZVjEQk6DQl5OmizvLGE-kRDZc,xg-E3jsiiPSgRJXiz-OuhwOjQEDs47ah4rWKgCIjW92zW1JNdgY9xS9YRLuLcx7uyLc_rqTOteIHhA,0,53,61,False,False,False,False
a82489b1-b98d-4247-bb66-a551d9fb6d88,RANKED_SOLO_5x5,DIAMOND,IV,IhzT5HUvve7HZQsZoNFR6tjrfTlfzQiJXdWiJJaiKe958Rw,BtRjVARGx9AXNeL1hRrcU9l0HK665Gz55VSBMG_RDOU6Qd24dYf8xCijsEJ-qrmvixvdftEO6igDjw,0,115,56,False,False,True,False
